timestamp,date,no2,voc,pm10,pm2.5,no2plume,voc plume,pm10 plume,pm2.5 plume,pm1 ,pm1 plume
1691107207,04-08-2023 00:00,17,119,55.453224,6.626213,16,10,59,13,5,13
1691107267,04-08-2023 00:01,17,117,34.9707,6.2639894,16,9,35,13,5,13
1691107327,04-08-2023 00:02,17,117,30.348907,3.6308897,16,9,30,7,3,7
1691107387,04-08-2023 00:03,17,115,26.97982,7.2347765,16,9,27,14,6,16
1691107447,04-08-2023 00:04,17,117,8.066007,4.0936046,16,9,8,8,3,8
1691107507,04-08-2023 00:05,17,116,23.641088,5.687268,16,9,24,11,5,12
1691107567,04-08-2023 00:06,17,115,16.785528,4.8786626,0,9,17,10,4,10
1691107627,04-08-2023 00:07,16,117,30.353157,6.2355914,15,9,30,12,5,13
1691107687,04-08-2023 00:08,17,118,19.104935,6.7868843,16,9,19,14,6,14
1691107747,04-08-2023 00:09,17,120,40.282352,4.0593843,16,10,40,8,3,8
1691107807,04-08-2023 00:10,17,118,40.345673,2,16,9,3,4,1,3
1691107867,04-08-2023 00:11,17,118,41.219746,7.5880327,16,9,41,15,7,16
1691107927,04-08-2023 00:12,17,116,6.05215,5.05215,16,9,6,10,4,10
1691107987,04-08-2023 00:13,17,117,12.508391,8.661377,16,9,13,17,8,19
1691108047,04-08-2023 00:14,17,115,36.03487,6.9126124,16,9,36,14,6,15
1691108107,04-08-2023 00:15,17,116,56.590252,2.9650187,16,9,61,6,1,3
1691108167,04-08-2023 00:16,17,114,12.376364,6.396417,0,9,12,13,5,13
1691108227,04-08-2023 00:17,17,114,42.070526,8.365104,16,9,42,17,7,18
1691108287,04-08-2023 00:18,17,114,52.279293,10.487479,16,9,54,21,8,21
1691108347,04-08-2023 00:19,17,114,15.97959,3.9382362,16,9,16,8,3,7
1691108407,04-08-2023 00:20,17,116,22.56781,6.319115,16,9,23,13,5,13
1691108467,04-08-2023 00:21,17,115,28.889053,4.0472383,16,9,29,8,3,8
1691108527,04-08-2023 00:22,17,113,30.345678,,16,9,0,0,,
1691108587,04-08-2023 00:23,17,116,41.574333,7.282219,16,9,42,15,6,16
1691108647,04-08-2023 00:24,17,117,59.437424,9.873529,16,9,66,20,6,15
1691108707,04-08-2023 00:25,17,116,60.227726,6.8571844,16,9,67,14,5,12
1691108767,04-08-2023 00:26,17,118,5.855462,4.855462,0,9,6,10,4,10
1691108827,04-08-2023 00:27,17,116,40.939938,5.610145,16,0,41,11,4,11
1691108887,04-08-2023 00:28,17,115,18.88613,2.4414365,16,9,19,5,1,4
1691108947,04-08-2023 00:29,17,117,61.46895,6.075109,16,9,69,12,3,8
1691109007,04-08-2023 00:30,17,117,37.638546,4.6230736,16,9,38,9,3,7
1691109067,04-08-2023 00:31,17,117,56.149796,11.10224,16,9,60,22,6,16
1691109127,04-08-2023 00:32,17,115,18.075975,7.5632243,16,9,18,15,7,16
1691109187,04-08-2023 00:33,17,120,9.470551,8.470551,16,10,9,17,7,19
1691109247,04-08-2023 00:34,17,122,52.44587,13.724712,16,10,54,27,8,21
1691109307,04-08-2023 00:35,17,119,57.46723,8.784546,16,10,62,18,5,12
1691109367,04-08-2023 00:36,17,121,27.440851,7.181005,0,10,27,14,6,15
1691109427,04-08-2023 00:37,17,119,12.772493,11.772493,16,10,13,24,11,27
1691109487,04-08-2023 00:38,17,121,11.066219,10.066219,16,10,11,20,7,18
1691109547,04-08-2023 00:39,17,118,9.849899,8.849899,16,9,10,18,8,20
1691109607,04-08-2023 00:40,17,122,9.0801735,5.2840548,16,10,9,11,4,10
1691109667,04-08-2023 00:41,17,122,11.280397,10.280397,0,10,11,21,7,18
1691109727,04-08-2023 00:42,17,122,12.005333,11.005333,16,10,12,22,7,19
1691109787,04-08-2023 00:43,17,122,15.706008,14.706008,16,10,16,29,10,26
1691109847,04-08-2023 00:44,17,119,13.454608,12.454608,16,10,13,25,9,22
1691109907,04-08-2023 00:45,17,118,13.220465,12.220465,16,9,13,24,10,24
1691109967,04-08-2023 00:46,17,118,15.799502,14.799502,16,9,16,30,10,25
1691110027,04-08-2023 00:47,17,118,13.851857,12.851857,16,9,14,26,10,25
1691110087,04-08-2023 00:48,17,116,19.224823,18.224823,16,9,19,36,12,30
1691110147,04-08-2023 00:49,17,117,20.102425,19.102425,16,9,20,38,11,28
1691110207,04-08-2023 00:50,17,115,18.231215,17.231215,16,9,18,34,8,19
1691110267,04-08-2023 00:51,17,118,15.310004,14.310004,16,9,15,29,12,29
1691110327,04-08-2023 00:52,17,116,11.238792,10.238792,16,9,11,20,9,23
1691110387,04-08-2023 00:53,17,117,19.42603,18.42603,16,9,19,37,13,33
1691110447,04-08-2023 00:54,17,117,17.778633,16.778633,16,9,18,34,13,33
1691110507,04-08-2023 00:55,17,120,21.827251,20.827251,16,10,22,42,12,29
1691110567,04-08-2023 00:56,17,117,18.989235,17.989235,16,9,19,36,14,35
1691110627,04-08-2023 00:57,17,123,23.821129,22.821129,16,10,24,46,15,38
1691110687,04-08-2023 00:58,17,123,18.725174,17.725174,16,10,19,35,11,28
1691110747,04-08-2023 00:59,17,119,17.896526,16.896526,16,10,18,34,11,28
1691110807,04-08-2023 01:00,17,122,21.225933,20.225933,16,10,21,40,13,33
1691110867,04-08-2023 01:01,16,121,18.143093,17.143093,15,10,18,34,13,32
1691110927,04-08-2023 01:02,17,126,15.596869,14.596869,16,10,16,29,13,31
1691110987,04-08-2023 01:03,17,125,12.889919,11.889919,16,10,13,24,11,27
1691111047,04-08-2023 01:04,17,122,23.64655,22.64655,16,10,24,45,12,30
1691111107,04-08-2023 01:05,17,123,23.730246,22.730246,16,10,24,45,15,37
1691111167,04-08-2023 01:06,17,121,19.306,18.306,16,10,19,37,12,31
1691111227,04-08-2023 01:07,16,127,17.842293,16.842293,15,10,18,34,11,28
1691111287,04-08-2023 01:08,16,127,21.09103,20.09103,15,10,21,40,12,31
1691111347,04-08-2023 01:09,16,125,22.07383,21.07383,15,10,22,42,13,31
1691111407,04-08-2023 01:10,16,122,16.659794,15.659794,15,10,17,31,10,25
1691111467,04-08-2023 01:11,16,126,23.794636,22.794636,15,10,24,46,13,33
1691111527,04-08-2023 01:12,16,129,16.605543,15.605543,15,10,17,31,11,28
1691111587,04-08-2023 01:13,16,125,14.327017,13.327017,15,10,14,27,6,16
1691111647,04-08-2023 01:14,16,124,20.055046,19.055046,15,10,20,38,9,23
1691111707,04-08-2023 01:15,16,130,19.038353,18.038353,15,10,19,36,11,28
1691111767,04-08-2023 01:16,16,126,16.564598,15.564597,15,10,17,31,12,29
1691111827,04-08-2023 01:17,16,125,14.90564,13.90564,15,10,15,28,12,30
1691111887,04-08-2023 01:18,16,123,12.929048,11.929048,15,10,13,24,10,26
1691111947,04-08-2023 01:19,16,122,21.031576,20.031576,15,10,21,40,14,35
1691112007,04-08-2023 01:20,15,124,13.159999,12.159999,14,10,13,24,10,24
1691112067,04-08-2023 01:21,16,125,17.282787,16.282787,15,10,17,33,10,26
1691112127,04-08-2023 01:22,16,126,17.981731,16.981731,15,10,18,34,10,25
1691112187,04-08-2023 01:23,16,126,20.009186,19.009186,15,10,20,38,11,29
1691112247,04-08-2023 01:24,17,125,17.267675,16.267675,16,10,17,33,10,25
1691112307,04-08-2023 01:25,16,125,16.973166,14.534138,15,10,17,29,10,26
1691112367,04-08-2023 01:26,16,126,21.99897,20.99897,15,10,22,42,12,30
1691112427,04-08-2023 01:27,16,128,12.517412,11.517412,15,10,13,23,11,26
1691112487,04-08-2023 01:28,17,126,14.0506935,13.0506935,16,10,14,26,11,28
1691112547,04-08-2023 01:29,16,125,29.639732,13.784944,15,10,30,28,9,21
1691112607,04-08-2023 01:30,16,124,15.909433,14.909433,15,10,16,30,9,23
1691112667,04-08-2023 01:31,16,122,14.661407,13.661407,15,10,15,27,10,24
